species	Seed	Ht	LDMC	LeafCN	MD	Area	SLA	RMF	Total	RGR	Dens	DiamC	SRLC	SRLF	PropF
AMSMEN	0.002370389	0.7596678	0.07601058	16.36061691	0.00128253	0.36568714	2.36078	0.07825699	0.01908512	0.5950325	0.02897771	0.28555731	3.624296	4.780736	0.2835798
AVENA	0.015664815	1.505828	0.07937111	18.53818608	0.00372004	0.81652806	2.539266	0.10248489	0.090349771	0.5655492	0.02706134	0.14457421	3.638987	4.602071	0.2976402
BRADIS	0.003989185	0.9708116	0.14258189	23.22476888	0.001539015	0.48843956	2.491901	0.10897421	0.015653099	0.5068175	0.02780473	0.08278537	3.703991	4.73825	0.3002957
BRIMIN	0.00388194	1.108142533	0.089332377	16.0641338	0.002963069	0.708811853	2.51560425	0.147877029	0.038882864	0.6418486	0.028920321	0.109257193	3.730308667	4.728497417	0.297965375
BRODIA	0.010097926	1.1122698	0.07291699	19.68152709	0.00453202	0.92356756	2.517404	0.17138181	0.045524429	0.5305575	0.02757677	0.1383027	3.699153	4.755334	0.2986434
BROHOR	0.002227981	1.0737184	0.07981883	16.33822428	0.002770628	0.73623841	2.547962	0.1492944	0.026898768	0.6390251	0.02564784	0.09691001	3.746721	4.782161	0.2999713
BROMAD	0.002672426	1.0433623	0.06737895	11.99060978	0.002428504	0.72653356	2.580881	0.17684316	0.019793179	0.5864083	0.03196831	0.11226977	3.760815	4.750908	0.296439
CALCIL	0.000605093	0.5185139	0.03908701	16.16912132	0.00102806	0.37472488	2.393395	0.06153295	0.011363185	0.6676697	0.01711685	0.18752072	3.485732	4.658657	0.2981327
CARDUUS	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
CASATT	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
CYNECH	0.001171	1.0107239	0.07287312	16.72340434	0.004161171	0.93700644	2.594138	0.1769283	0.049027977	0.7501115	0.03090121	0.10551018	3.742124	4.745388	0.2990614
DAUCAR	0.001271037	0.8095597	0.07783739	14.08871965	0.00313512	0.70755776	2.463053	0.09275231	0.013774794	0.6259924	0.01987409	0.34143452	3.371408	4.822206	0.2958057
DAUPUS	0.001633574	0.4771213	0.08785357	16.78590014	0.003158834	0.64858808	2.369041	0.13276009	0.020017192	0.6397837	0.0238257	0.36078269	3.119167	4.738392	0.298151
DICCAP	0.003979657	1.11416855	0.11616202	22.09371503	0.002551176	0.570897083	2.43060175	0.12942363	0.019476472	0.5451349	0.033552995	0.122563243	3.78344325	4.681083	0.29054065
DICVOL	0.003979657	1.11416855	0.11616202	22.09371503	0.002551176	0.570897083	2.43060175	0.12942363	0.019476472	0.5451349	0.033552995	0.122563243	3.78344325	4.681083	0.29054065
ELYGLA	0.004533111	1.2683439	0.09994369	20.30841127	0.003201947	0.77941182	2.527559	0.14099556	0.024764709	0.5513932	0.0284645	0.13353891	3.724021	4.568407	0.2842222
EROBOT	0.007565352	0.5378191	0.07783215	24.276054	0.006517384	0.75551731	2.201191	0.11064666	0.072628499	0.6204201	0.02836992	0.44793287	2.760834	4.598098	0.2994032
EUPSPA	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
FILGAL	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
GALIUM	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
GERSP	0.007565352	0.5378191	0.07783215	24.276054	0.006517384	0.75551731	2.201191	0.11064666	0.072628499	0.6204201	0.02836992	0.44793287	2.760834	4.598098	0.2994032
HORSP	0.002804889	1.1020905	0.07999119	16.54843772	0.002861241	0.7682317	2.582985	0.13013847	0.023166004	0.5987627	0.03510273	0.09516935	3.764862	4.854649	0.3002798
HYPGLA	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
LAM	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
LINUM	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
LOLMUL	0.002554704	1.3550682	0.07988992	20.5723318	0.005545132	0.96850993	2.486126	0.1382744	0.061648471	0.7066611	0.02726963	0.12385164	3.749639	4.744301	0.2938767
LOTUS	0.003435	1.205475	0.09732829	17.26349656	0.004617969	0.7682317	2.39583	0.09058255	0.14762841	0.7609791	0.02743325	0.38111508	2.958926	4.429949	0.2967406
LUPBIC	0.004504056	0.7118072	0.0713379	13.31261081	0.001602842	0.41403489	2.356706	0.07936113	0.035763836	0.5963024	0.024285	0.33945144	2.901125	4.314615	0.291889
MEDPOL	0.003187104	1.00071196	0.087450922	16.73699415	0.010291551	0.998315892	2.3295544	0.09854231	0.187422512	0.78903222	0.030511006	0.520654204	2.5408094	4.500146	0.29876854
MICCAL	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
NASPUL	0.003912963	1.0530784	0.12764861	19.31602322	0.001707758	0.43060021	2.304782	0.15732785	0.016021592	0.513188	0.03615962	0.161368	3.581375	4.819583	0.2956642
NAVLEU	0.002183981	0.744293	0.05395312	10.6436434	0.002182267	0.59637609	2.447995	0.16188753	0.030249474	0.652959	0.02017402	0.29885308	3.317332	4.728768	0.2998931
ODOHAR	0.003979657	1.11416855	0.11616202	22.09371503	0.002551176	0.570897083	2.43060175	0.12942363	0.019476472	0.5451349	0.033552995	0.122563243	3.78344325	4.681083	0.29054065
PETDUB	0.000182907	0.7403627	0.07483402	23.83734504	0.005952287	0.75749776	2.298337	0.1347976	0.063747937	0.8899174	0.04329513	0.3569814	3.120647	4.684256	0.300175
PHAAQU	0.003979657	1.11416855	0.11616202	22.09371503	0.002551176	0.570897083	2.43060175	0.12942363	0.019476472	0.5451349	0.033552995	0.122563243	3.78344325	4.681083	0.29054065
PLALAN	0.001107741	0.908485	0.06240749	21.6176341	0.007779773	0.94381439	2.351315	0.12122899	0.04035902	0.7384903	0.02587226	0.31175386	3.310749	4.842295	0.2989943
PLANOT	0.002370389	0.7596678	0.07601058	16.36061691	0.00128253	0.36568714	2.36078	0.07825699	0.01908512	0.5950325	0.02897771	0.28555731	3.624296	4.780736	0.2835798
RANOCC	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
SANBIP	0.001893778	0.676991333	0.078910743	16.58665755	0.002737156	0.633496117	2.42158	0.11145966	0.015189863	0.5944254	0.024275477	0.346225647	3.198952333	4.732612333	0.2946835
SIDHAR	0.001409687	0.636274452	0.068141376	16.16912132	0.002731483	0.538142779	2.411766556	0.099378149	0.0213968	0.696632993	0.030697291	0.264745043	3.427475852	4.733795037	0.296194607
SILGAL	0.000182907	0.7403627	0.07483402	23.83734504	0.005952287	0.75749776	2.298337	0.1347976	0.063747937	0.8899174	0.04329513	0.3569814	3.120647	4.684256	0.300175
TAECAP	0.003132685	1.0354297	0.11175091	14.57188089	0.001350725	0.40300218	2.414174	0.17947793	0.020454513	0.5720801	0.02604623	0.11058971	3.733841	4.736736	0.2986017
TRIHIR	0.005439833	0.7363965	0.07797228	15.82040999	0.005365006	0.84226905	2.358074	0.10644713	0.096562438	0.6827659	0.02338578	0.39532639	2.789835	4.49073	0.2986286
TRIIXI	0.003979657	1.11416855	0.11616202	22.09371503	0.002551176	0.570897083	2.43060175	0.12942363	0.019476472	0.5451349	0.033552995	0.122563243	3.78344325	4.681083	0.29054065
TRISP	0.003979657	1.11416855	0.11616202	22.09371503	0.002551176	0.570897083	2.43060175	0.12942363	0.019476472	0.5451349	0.033552995	0.122563243	3.78344325	4.681083	0.29054065
VICIA	0.003187104	1.00071196	0.087450922	16.73699415	0.010291551	0.998315892	2.3295544	0.09854231	0.187422512	0.78903222	0.030511006	0.520654204	2.5408094	4.500146	0.29876854
VULMYU	0.000695593	0.9845273	0.08757923	15.58616722	0.001037809	0.3308402	2.36164	0.18369267	0.055959041	0.7984128	0.0296098	0.09342169	3.839112	4.598326	0.2975763
ZIGFRE	0.003979657	1.11416855	0.11616202	22.09371503	0.002551176	0.570897083	2.43060175	0.12942363	0.019476472	0.5451349	0.033552995	0.122563243	3.78344325	4.681083	0.29054065
