"env" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" 1 321 179 179 143 36 179 179 179 250 179 0 0 71 107 36 0 0 143 0 71 0 71 36 0 36 36 0 0 107 36
"2" 1 250 143 36 214 214 214 250 214 0 107 0 36 107 36 0 71 36 0 36 0 36 36 36 71 71 36 0 143 71 36
"3" 1 71 250 107 179 143 107 179 250 143 179 0 0 36 36 107 107 36 36 36 36 36 71 36 143 36 0 36 71 0 0
"4" 1 36 250 71 107 71 179 143 250 36 357 0 71 0 36 36 36 36 36 107 71 36 36 0 36 36 36 0 0 36 36
"5" 1 179 107 143 214 0 143 107 179 143 250 36 36 36 0 0 36 36 36 36 71 0 36 36 36 0 71 36 71 36 143
"6" 1 357 107 143 286 179 179 179 179 250 286 0 36 143 0 0 36 0 36 0 0 0 0 36 71 0 0 0 0 71 36
"7" 1 107 143 250 250 143 143 179 250 107 179 71 0 36 71 36 71 36 71 36 0 0 0 36 0 36 36 0 0 107 0
"8" 1 143 250 179 179 179 143 143 250 179 179 36 71 36 36 0 0 107 36 0 0 0 71 36 71 0 107 0 0 0 36
"9" 1 250 71 214 179 143 143 107 143 107 321 0 71 36 36 36 143 0 0 0 71 0 71 36 36 0 36 36 0 0 71
"10" 1 214 179 36 107 143 179 143 179 179 286 0 71 0 0 71 36 71 0 36 36 0 71 0 71 36 0 36 0 71 36
"11" 2 0 36 0 0 71 36 107 36 0 36 143 107 214 71 250 179 214 250 214 250 214 143 286 214 250 250 429 143 179 250
"12" 2 0 71 36 36 36 36 36 71 71 71 179 179 143 107 143 321 179 214 179 393 286 214 357 143 286 179 36 71 143 286
"13" 2 71 36 0 0 71 71 0 36 0 0 214 143 143 214 179 179 250 179 286 179 143 143 214 321 107 71 143 214 143 71
"14" 2 71 0 0 0 107 36 36 71 36 0 179 321 107 107 71 286 250 250 286 321 107 143 286 214 71 143 71 107 321 179
"15" 2 0 107 36 36 0 36 36 0 36 36 179 143 107 143 214 214 250 250 286 107 179 357 429 214 250 214 214 321 71 286
"16" 2 36 0 36 0 107 0 36 36 0 0 250 250 250 143 107 179 286 143 179 321 250 71 250 143 143 36 286 179 71 214
"17" 2 0 36 179 36 107 36 0 36 36 0 179 179 143 179 250 286 214 71 71 179 179 36 107 286 214 143 107 143 143 179
"18" 2 0 36 0 71 36 0 36 36 0 71 71 143 179 107 107 250 179 250 214 179 71 107 107 71 393 143 214 393 107 214
"19" 2 36 107 107 71 36 107 36 71 107 107 179 143 179 179 179 107 214 250 71 357 286 179 286 107 179 214 36 250 71 179
"20" 2 0 71 107 107 107 0 143 36 36 36 250 286 179 143 214 214 107 107 71 71 250 321 143 179 143 107 143 107 321 143
