"env","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,321,179,179,143,36,179,179,179,250,179
1,250,143,36,214,214,214,250,214,0,107
1,71,250,107,179,143,107,179,250,143,179
1,36,250,71,107,71,179,143,250,36,357
1,179,107,143,214,0,143,107,179,143,250
1,357,107,143,286,179,179,179,179,250,286
1,107,143,250,250,143,143,179,250,107,179
1,143,250,179,179,179,143,143,250,179,179
1,250,71,214,179,143,143,107,143,107,321
1,214,179,36,107,143,179,143,179,179,286
2,0,36,0,0,71,36,107,36,0,36
2,0,71,36,36,36,36,36,71,71,71
2,71,36,0,0,71,71,0,36,0,0
2,71,0,0,0,107,36,36,71,36,0
2,0,107,36,36,0,36,36,0,36,36
2,36,0,36,0,107,0,36,36,0,0
2,0,36,179,36,107,36,0,36,36,0
2,0,36,0,71,36,0,36,36,0,71
2,36,107,107,71,36,107,36,71,107,107
2,0,71,107,107,107,0,143,36,36,36
